# number of LED, resolution of motor encoder 
32, 380 
231 108 64 
228 105 61 
228 105 61 
230 105 61 
235 158 132 
236 158 129 
233 155 126 
231 156 124 
227 150 123 
254 205 189 
231 161 138 
224 148 119 
223 154 135 
241 201 183 
241 206 192 
230 139 108 
236 145 108 
230 137 98 
227 135 94 
229 139 108 
225 126 88 
232 149 121 
231 127 84 
240 188 175 
242 231 223 
245 233 227 
244 243 245 
247 246 250 
247 245 245 
244 242 234 
232 111 69 
225 114 66 
228 110 63 
231 108 64 
228 105 61 
226 105 61 
235 158 132 
236 158 129 
233 155 126 
231 156 124 
230 154 125 
250 196 179 
232 168 144 
222 149 117 
226 156 139 
239 196 181 
248 220 209 
229 137 108 
234 140 105 
235 135 100 
228 136 95 
230 171 152 
215 130 104 
237 170 149 
232 127 88 
248 182 164 
246 227 220 
243 235 228 
248 245 241 
242 247 246 
249 247 247 
243 245 245 
210 112 82 
224 115 64 
230 109 65 
231 108 64 
233 110 66 
228 105 61 
235 158 132 
236 158 129 
234 156 127 
231 155 126 
229 153 124 
238 176 158 
237 177 155 
228 156 126 
220 152 133 
237 192 178 
249 221 210 
226 141 115 
227 137 103 
238 135 102 
225 136 102 
255 245 239 
255 220 207 
244 181 161 
229 132 96 
242 164 141 
253 214 205 
246 229 220 
245 238 235 
244 246 246 
244 245 243 
250 246 245 
255 232 224 
231 115 68 
230 111 66 
232 109 65 
231 108 64 
232 107 63 
235 158 132 
236 158 129 
234 156 127 
231 155 126 
231 154 122 
238 176 158 
236 183 163 
233 156 129 
225 162 141 
239 194 180 
248 225 210 
225 143 118 
223 143 112 
237 134 102 
215 140 118 
248 242 247 
255 252 242 
243 176 155 
240 153 121 
225 132 107 
234 172 154 
233 204 189 
245 237 230 
248 244 243 
244 245 243 
249 245 244 
253 247 234 
230 118 72 
228 111 66 
231 110 66 
232 109 65 
233 108 64 
235 158 132 
235 158 131 
234 156 127 
231 155 126 
231 154 122 
232 163 144 
234 194 176 
231 161 137 
228 165 144 
229 192 178 
240 216 204 
218 147 127 
243 176 149 
233 140 107 
255 226 213 
250 242 249 
250 249 245 
240 170 146 
235 152 124 
238 146 117 
230 131 103 
242 196 179 
245 235 225 
250 241 238 
245 240 239 
237 241 236 
245 229 222 
253 189 158 
232 115 70 
230 109 65 
235 110 66 
234 109 65 
235 158 132 
235 158 131 
234 156 127 
233 155 126 
231 154 122 
227 151 129 
242 204 186 
228 165 144 
245 178 157 
230 196 180 
250 206 193 
239 180 160 
255 202 178 
225 136 109 
244 235 231 
242 243 247 
252 244 244 
224 144 121 
253 163 133 
247 170 138 
229 131 91 
248 178 154 
254 228 212 
244 233 225 
244 230 224 
244 235 222 
247 232 223 
248 234 215 
241 111 74 
233 112 70 
231 110 66 
232 109 65 
235 158 132 
235 158 131 
234 156 127 
233 155 126 
233 153 122 
226 146 123 
251 208 191 
230 174 155 
239 170 150 
244 211 195 
238 196 183 
235 177 158 
255 208 186 
217 144 124 
251 246 248 
243 245 246 
249 244 241 
245 165 142 
241 150 119 
233 142 111 
226 131 92 
233 127 96 
236 193 174 
252 232 215 
239 207 194 
238 222 205 
236 220 203 
244 224 207 
221 112 80 
231 111 69 
234 115 70 
232 113 68 
235 158 132 
235 158 131 
234 156 127 
233 155 126 
233 153 122 
234 150 125 
243 201 182 
231 182 166 
226 158 139 
253 218 204 
226 193 178 
232 177 162 
235 188 167 
243 192 176 
246 243 245 
250 244 249 
246 247 243 
221 148 120 
233 140 107 
228 136 101 
223 125 95 
225 138 104 
241 158 136 
242 195 174 
232 171 151 
247 201 183 
246 212 196 
239 204 190 
244 180 150 
237 113 72 
232 115 70 
234 114 72 
235 158 132 
235 158 131 
234 156 127 
233 155 126 
233 153 122 
235 150 124 
233 183 163 
232 187 173 
219 153 134 
246 209 195 
236 217 202 
227 175 162 
241 198 181 
254 223 208 
245 244 248 
243 244 248 
238 244 243 
223 143 114 
232 137 104 
228 136 101 
253 185 162 
249 201 173 
232 141 110 
247 184 164 
249 174 152 
219 139 116 
238 203 190 
233 198 178 
252 202 179 
235 115 73 
232 117 74 
233 115 73 
235 158 132 
235 158 131 
234 156 127 
232 154 125 
233 153 124 
235 150 124 
217 162 141 
244 202 189 
224 158 140 
226 179 165 
235 219 206 
242 209 194 
243 203 184 
237 218 203 
245 247 248 
244 244 250 
242 244 245 
214 144 120 
236 141 108 
226 137 103 
247 203 186 
240 224 211 
227 167 137 
240 163 136 
239 163 134 
230 134 104 
252 202 180 
238 194 177 
248 188 164 
227 119 78 
230 117 74 
232 117 74 
235 158 132 
235 158 131 
234 156 127 
232 154 125 
234 154 125 
235 150 124 
218 149 129 
251 212 198 
230 168 152 
232 179 166 
246 220 206 
233 207 190 
254 211 192 
249 233 220 
243 243 243 
244 245 249 
243 243 243 
241 181 157 
229 142 110 
229 141 111 
223 191 172 
255 242 234 
255 248 238 
233 172 152 
223 150 120 
237 133 98 
230 160 131 
242 191 171 
233 172 152 
220 119 81 
234 119 74 
231 118 75 
235 158 132 
235 158 131 
234 156 127 
233 155 126 
230 155 123 
236 152 124 
227 149 126 
253 210 195 
234 175 165 
227 166 152 
245 218 204 
235 219 202 
245 194 174 
238 206 193 
246 246 246 
246 245 249 
244 245 243 
250 211 189 
230 150 121 
233 150 119 
217 171 153 
249 244 241 
247 244 246 
250 238 236 
228 182 165 
234 134 106 
229 135 100 
233 168 147 
237 167 144 
235 140 107 
232 118 77 
232 118 77 
235 158 132 
235 158 131 
236 158 129 
233 155 126 
230 155 123 
237 153 125 
233 149 123 
238 188 170 
239 193 182 
226 164 148 
255 211 198 
247 226 211 
245 188 167 
222 170 157 
246 247 245 
249 245 250 
248 245 241 
255 228 209 
236 162 134 
232 159 131 
226 174 161 
244 239 238 
247 242 243 
244 245 243 
252 245 242 
255 240 228 
216 139 113 
232 168 138 
235 166 139 
236 138 104 
230 122 81 
234 118 77 
235 158 132 
235 158 131 
236 158 129 
233 155 126 
230 154 125 
236 153 125 
235 151 123 
223 162 142 
242 200 188 
238 183 170 
242 193 179 
244 209 195 
236 171 150 
209 153 134 
245 243 242 
248 245 247 
246 239 236 
255 233 216 
241 166 140 
234 162 138 
244 225 212 
246 241 243 
248 242 243 
246 242 241 
246 244 243 
244 243 245 
255 251 240 
236 171 143 
240 179 159 
235 135 100 
239 134 93 
231 121 79 
236 159 133 
235 158 131 
234 157 130 
234 156 127 
233 155 126 
237 154 126 
233 154 121 
229 161 138 
242 204 192 
238 188 176 
237 186 170 
237 197 179 
229 162 141 
223 152 125 
246 234 232 
246 243 245 
245 233 229 
247 225 213 
237 162 136 
242 174 151 
249 222 212 
247 245 245 
249 243 244 
243 238 237 
246 244 243 
246 246 246 
237 239 239 
227 191 175 
249 197 180 
229 142 102 
236 133 94 
234 123 85 
236 159 133 
235 158 131 
234 157 130 
234 156 127 
233 154 127 
235 155 126 
233 156 123 
230 156 130 
255 216 201 
239 201 189 
237 185 173 
234 179 164 
225 162 141 
234 156 127 
244 222 216 
243 240 242 
246 234 230 
247 229 222 
237 164 142 
237 172 151 
236 208 197 
248 243 245 
248 243 244 
245 241 240 
247 245 244 
247 247 247 
245 245 239 
238 215 199 
245 198 177 
217 134 106 
235 129 88 
234 129 85 
236 159 133 
235 158 131 
233 156 129 
234 156 127 
233 154 127 
235 155 126 
232 157 125 
230 154 125 
249 201 183 
243 211 200 
234 189 178 
239 177 161 
235 172 151 
235 156 129 
250 225 215 
245 239 234 
251 229 223 
246 236 226 
227 155 137 
232 167 146 
252 226 219 
249 244 241 
246 244 243 
244 240 239 
249 245 244 
246 246 246 
243 244 240 
247 238 228 
225 196 181 
255 240 228 
218 145 115 
236 131 92 
236 159 133 
235 158 131 
233 156 129 
234 156 127 
233 155 126 
233 154 127 
234 157 125 
227 155 121 
235 178 157 
254 220 207 
230 189 180 
235 181 164 
223 162 142 
233 151 126 
254 228 212 
244 227 214 
248 217 208 
235 225 215 
229 157 139 
235 169 150 
246 217 210 
245 245 245 
246 244 243 
243 239 238 
246 244 244 
246 246 246 
248 246 245 
245 245 239 
247 236 228 
242 243 241 
248 245 240 
214 148 119 
236 159 133 
235 158 131 
235 158 131 
234 156 127 
234 156 127 
233 154 127 
235 154 127 
231 156 124 
225 154 127 
255 220 205 
240 208 197 
234 189 176 
228 162 143 
231 148 126 
229 176 155 
243 217 200 
237 195 182 
235 216 203 
231 159 141 
233 174 154 
235 204 189 
243 244 242 
245 243 242 
245 240 241 
246 244 244 
243 245 246 
246 246 246 
247 242 239 
240 235 226 
241 243 243 
241 244 248 
255 236 224 
236 159 133 
235 158 131 
235 158 131 
234 156 127 
234 156 127 
233 154 127 
237 153 127 
232 155 123 
228 151 124 
238 188 165 
251 215 207 
237 197 185 
233 177 158 
229 150 131 
214 147 124 
250 200 177 
223 164 148 
244 211 196 
242 173 154 
237 178 159 
236 196 178 
247 243 232 
247 245 245 
248 243 244 
244 243 245 
244 245 249 
246 243 245 
252 244 237 
242 236 225 
247 242 239 
247 248 246 
249 230 215 
236 159 133 
235 158 131 
235 158 131 
234 156 127 
234 156 127 
233 155 126 
237 154 126 
236 151 125 
229 151 122 
226 167 141 
255 214 205 
243 211 198 
246 203 184 
225 156 136 
224 153 126 
233 169 145 
226 159 138 
251 195 178 
235 172 152 
252 193 177 
236 193 178 
243 240 225 
251 244 247 
248 246 246 
243 245 246 
246 245 247 
246 243 245 
251 243 236 
241 230 222 
252 243 233 
246 242 241 
252 219 200 
236 159 133 
235 158 131 
235 158 131 
234 156 127 
234 156 127 
233 155 126 
237 155 124 
235 152 124 
227 149 120 
228 156 126 
235 180 171 
247 209 197 
237 204 185 
243 188 167 
235 161 135 
226 152 124 
229 150 129 
241 168 146 
235 168 147 
230 177 157 
233 190 175 
252 242 232 
249 243 244 
245 245 245 
246 245 247 
246 246 246 
248 246 246 
251 243 236 
240 227 219 
243 226 213 
240 229 215 
247 204 185 
236 159 133 
235 158 131 
235 158 131 
236 158 129 
233 158 126 
233 155 126 
231 155 126 
233 153 124 
230 152 123 
230 157 125 
228 158 141 
240 191 177 
239 205 189 
236 196 178 
239 173 148 
224 154 124 
230 152 123 
233 156 124 
234 158 135 
234 179 158 
226 182 165 
222 199 191 
246 243 245 
248 246 246 
248 246 246 
248 246 245 
246 246 246 
247 238 229 
242 223 210 
248 222 205 
240 213 193 
243 198 177 
236 159 133 
235 158 131 
235 158 131 
236 158 129 
233 158 126 
233 155 126 
229 155 127 
231 152 125 
231 153 124 
230 155 123 
230 153 134 
229 167 149 
248 204 187 
242 203 189 
235 172 152 
234 159 133 
240 152 122 
234 156 120 
236 155 128 
236 173 152 
242 191 171 
230 196 183 
249 241 241 
245 243 242 
249 244 243 
248 246 246 
250 245 244 
247 238 229 
246 220 206 
234 206 189 
248 209 187 
239 198 176 
236 159 133 
236 159 132 
235 158 131 
236 158 129 
233 158 126 
233 156 124 
229 155 127 
232 153 126 
232 154 125 
233 155 126 
235 151 125 
225 155 132 
240 186 169 
244 200 187 
231 180 164 
231 162 143 
233 152 125 
235 154 119 
232 154 125 
233 163 140 
238 185 165 
236 193 172 
248 231 222 
246 243 239 
247 240 237 
249 246 248 
246 243 239 
241 234 225 
243 214 200 
238 205 189 
244 209 189 
234 193 170 
236 159 133 
236 159 132 
235 158 131 
234 157 130 
233 157 128 
233 156 124 
231 155 126 
233 155 126 
231 155 126 
233 155 126 
231 153 124 
230 155 129 
229 167 151 
237 185 169 
245 204 189 
242 198 181 
227 163 139 
240 157 129 
236 153 125 
238 159 132 
234 185 163 
237 186 166 
243 212 197 
249 242 239 
244 232 230 
252 241 237 
246 230 223 
246 232 220 
240 206 190 
242 206 188 
241 195 177 
233 183 160 
236 159 133 
236 159 132 
235 158 131 
234 157 130 
233 157 128 
233 155 126 
233 155 126 
235 155 126 
234 156 127 
234 157 125 
231 153 124 
230 156 128 
234 164 140 
234 173 153 
243 195 177 
255 218 203 
255 217 202 
225 159 140 
232 152 127 
237 160 134 
230 180 157 
239 182 161 
235 192 177 
255 238 231 
235 214 206 
234 204 193 
236 210 194 
240 203 189 
238 183 168 
235 184 168 
231 179 162 
237 174 154 
236 159 133 
236 159 132 
233 158 132 
235 158 131 
231 158 128 
234 156 127 
236 156 125 
235 155 126 
237 157 128 
234 157 125 
233 156 124 
230 157 127 
232 158 132 
237 163 139 
238 175 155 
231 185 168 
250 212 200 
245 211 195 
235 171 147 
231 162 135 
238 178 154 
236 179 157 
232 179 159 
232 195 181 
243 207 191 
238 197 182 
240 209 188 
231 184 163 
235 171 153 
227 176 156 
232 181 161 
236 176 154 
236 159 133 
236 159 132 
233 158 132 
235 158 131 
231 158 128 
234 156 127 
237 155 124 
237 157 128 
237 157 128 
235 158 126 
233 156 124 
232 156 127 
230 156 128 
229 155 127 
235 161 137 
230 163 142 
247 196 176 
247 204 187 
247 197 175 
227 161 136 
235 167 144 
233 173 151 
231 175 150 
232 179 158 
242 191 171 
240 197 182 
235 200 186 
237 185 172 
239 196 179 
231 194 180 
226 188 176 
225 184 162 
236 159 133 
236 159 132 
233 158 132 
233 159 131 
231 158 128 
234 156 127 
236 156 127 
232 154 125 
239 156 128 
235 158 126 
234 157 125 
232 157 125 
232 156 127 
233 157 128 
233 156 129 
232 160 136 
238 170 147 
229 170 150 
245 192 172 
228 167 141 
231 165 140 
239 174 153 
238 175 154 
234 175 155 
236 178 156 
237 187 167 
240 191 175 
241 189 173 
233 205 188 
234 211 203 
238 212 205 
233 204 195 
236 159 133 
234 160 132 
233 158 132 
233 159 131 
232 158 130 
234 155 128 
236 160 131 
222 155 130 
239 155 129 
234 159 127 
234 157 125 
232 157 125 
232 157 125 
232 156 127 
230 154 125 
233 157 128 
234 161 131 
236 164 140 
238 178 156 
242 178 154 
232 165 142 
238 171 148 
244 177 154 
240 175 154 
234 175 155 
242 193 171 
238 180 161 
237 184 164 
246 194 181 
243 216 206 
240 221 213 
239 215 209 
236 159 133 
234 160 132 
233 158 132 
233 159 131 
232 158 130 
234 155 128 
230 159 132 
212 152 130 
236 156 131 
234 159 127 
233 158 126 
230 157 127 
232 157 125 
232 156 127 
228 157 124 
230 157 125 
232 157 125 
233 160 130 
237 170 145 
244 178 153 
238 168 144 
242 171 144 
236 169 144 
240 170 146 
234 168 143 
249 192 167 
234 167 144 
237 170 147 
233 174 155 
229 184 170 
241 212 203 
243 219 213 
236 159 133 
234 160 132 
233 158 132 
232 159 131 
231 157 131 
236 156 131 
221 155 130 
217 164 144 
234 157 131 
232 159 129 
231 158 128 
231 158 128 
233 158 126 
231 158 128 
228 156 126 
232 157 125 
232 157 125 
233 157 128 
232 159 129 
236 162 136 
234 163 136 
240 167 139 
238 165 137 
235 162 134 
233 160 132 
230 162 133 
233 163 134 
235 162 134 
237 168 141 
235 172 151 
238 186 169 
241 206 192 
236 159 133 
235 161 133 
233 159 133 
232 159 131 
231 157 131 
233 157 134 
231 178 157 
249 210 195 
226 159 134 
228 160 131 
231 158 130 
230 157 129 
234 159 127 
231 158 128 
231 157 129 
236 159 127 
235 158 126 
235 157 128 
233 158 126 
232 156 127 
231 158 128 
232 159 129 
232 159 129 
232 159 129 
235 159 130 
236 160 131 
234 163 130 
235 160 128 
229 160 127 
235 162 134 
231 162 135 
235 173 149 
236 159 133 
235 161 133 
233 159 133 
232 159 131 
231 157 131 
233 157 134 
240 197 178 
249 222 208 
228 171 149 
225 161 136 
232 158 132 
232 158 130 
235 160 128 
232 159 131 
235 159 130 
237 157 128 
236 159 127 
233 157 128 
230 158 128 
230 158 128 
233 157 128 
235 159 130 
232 160 130 
232 158 130 
238 160 131 
236 160 131 
234 162 132 
230 160 130 
233 162 128 
235 164 131 
236 162 128 
235 162 130 
236 159 133 
235 161 133 
233 159 133 
232 161 134 
229 157 133 
228 157 137 
245 209 191 
244 222 210 
234 187 165 
210 157 136 
221 157 133 
230 158 134 
227 163 139 
212 156 131 
233 159 131 
233 158 132 
235 158 131 
236 159 127 
228 162 127 
230 161 128 
234 159 127 
232 159 129 
231 160 127 
236 158 129 
237 160 133 
240 162 133 
235 161 133 
232 160 130 
238 164 130 
236 165 132 
233 162 128 
236 162 128 
236 159 133 
235 161 133 
229 157 133 
232 161 134 
227 160 135 
223 157 138 
241 208 192 
235 213 201 
244 211 192 
216 170 152 
235 189 171 
235 168 145 
232 180 167 
234 202 183 
230 159 132 
232 161 134 
232 158 134 
226 157 130 
236 161 129 
233 162 129 
234 161 129 
235 159 130 
235 159 130 
233 159 133 
238 160 137 
241 161 132 
217 160 138 
223 166 144 
236 163 133 
225 163 133 
239 162 135 
233 159 133 
236 159 133 
234 160 132 
229 157 133 
232 160 136 
227 161 136 
216 154 136 
239 209 192 
233 211 200 
245 219 205 
253 224 210 
244 208 192 
229 176 156 
247 211 205 
255 247 233 
228 161 136 
224 162 138 
224 168 151 
239 196 177 
238 161 134 
234 161 131 
232 162 133 
230 162 133 
235 161 133 
225 169 144 
225 158 137 
230 162 139 
255 252 240 
253 226 212 
228 162 144 
204 170 147 
251 229 217 
213 163 145 
236 159 133 
234 160 132 
229 159 135 
232 160 136 
227 161 136 
217 160 145 
247 221 205 
238 216 205 
243 230 222 
247 225 214 
253 227 215 
238 195 178 
239 212 208 
241 236 227 
239 182 160 
221 171 151 
255 228 217 
254 240 228 
223 163 139 
237 160 134 
227 160 135 
231 178 157 
228 160 137 
250 229 208 
247 202 191 
240 220 215 
244 247 245 
238 229 220 
252 230 219 
253 246 237 
253 245 245 
237 222 206 
236 159 133 
234 160 132 
229 159 135 
232 160 136 
227 163 138 
228 179 165 
255 235 220 
238 216 205 
245 233 229 
236 217 212 
241 220 212 
251 216 202 
248 219 214 
246 234 230 
237 197 185 
246 213 204 
253 234 226 
247 239 232 
237 193 176 
233 161 137 
239 181 162 
223 183 165 
233 176 161 
239 219 208 
217 195 190 
254 243 245 
253 241 241 
240 220 215 
231 207 195 
228 214 202 
239 220 212 
238 222 209 
235 160 134 
235 161 133 
230 160 136 
234 162 138 
229 169 145 
240 196 183 
251 227 215 
239 217 206 
246 234 232 
239 223 217 
241 222 214 
246 214 203 
246 211 201 
236 215 213 
229 197 191 
232 199 190 
232 210 204 
240 223 214 
228 191 183 
232 166 147 
249 205 192 
239 202 188 
236 209 199 
234 215 210 
249 240 236 
239 230 226 
243 224 219 
239 213 206 
235 208 198 
248 212 204 
235 203 190 
229 203 187 
235 160 134 
235 161 133 
230 160 136 
234 162 138 
240 178 154 
249 209 197 
243 219 207 
249 227 216 
244 235 232 
250 236 230 
240 222 211 
239 204 194 
232 187 173 
247 222 212 
235 210 200 
217 186 177 
240 206 193 
241 206 193 
238 196 189 
234 173 153 
245 211 198 
243 198 185 
233 217 210 
253 237 231 
245 233 231 
244 224 219 
241 215 201 
236 210 198 
235 203 190 
228 192 176 
240 192 180 
237 198 189 
235 160 134 
235 161 133 
232 162 138 
236 166 142 
242 180 156 
255 220 210 
234 207 197 
242 217 207 
243 234 231 
252 239 231 
233 216 203 
235 196 187 
224 166 147 
251 222 208 
254 229 219 
244 208 198 
230 187 172 
230 175 160 
246 192 181 
221 171 149 
246 214 203 
234 190 173 
245 223 217 
238 222 215 
242 220 209 
241 213 202 
230 199 184 
237 199 187 
242 203 189 
234 176 164 
230 177 167 
228 189 180 
235 160 134 
235 160 134 
232 162 138 
239 169 146 
242 180 156 
250 214 206 
234 205 196 
234 209 199 
243 232 228 
250 238 228 
233 222 208 
238 199 184 
219 166 146 
242 201 186 
244 208 198 
232 186 175 
220 172 154 
226 164 148 
231 172 157 
217 177 159 
221 193 186 
231 188 169 
242 213 209 
238 208 197 
235 203 192 
235 208 198 
224 194 183 
227 192 182 
228 204 198 
255 234 222 
238 219 206 
254 238 226 
235 160 134 
235 160 134 
230 160 136 
239 169 146 
239 176 155 
240 208 197 
235 206 197 
230 203 193 
244 234 227 
243 231 221 
233 222 208 
237 201 185 
231 175 156 
227 183 166 
234 182 169 
222 177 164 
222 177 163 
234 171 151 
229 171 159 
244 238 225 
247 215 210 
240 189 173 
245 226 223 
225 201 189 
253 234 229 
254 245 242 
243 220 212 
249 220 213 
255 247 240 
230 219 215 
253 228 224 
230 183 179 
235 160 134 
235 160 134 
230 160 136 
239 169 146 
236 171 150 
230 200 189 
246 221 211 
232 205 195 
247 234 226 
242 227 218 
240 218 207 
237 194 179 
221 170 154 
221 186 173 
224 169 156 
218 189 180 
253 216 202 
228 174 157 
236 193 184 
232 229 221 
244 219 215 
241 189 177 
254 245 242 
232 220 210 
255 249 246 
247 238 235 
244 224 219 
241 219 213 
235 218 215 
244 213 214 
229 197 186 
230 183 169 
235 160 134 
235 161 135 
231 161 137 
237 167 144 
234 169 148 
222 192 181 
243 221 209 
239 208 199 
252 230 224 
238 217 209 
241 208 199 
234 189 176 
248 221 207 
255 232 225 
241 215 209 
247 242 239 
235 216 201 
231 180 164 
249 227 215 
249 242 239 
239 217 211 
234 191 182 
233 228 225 
231 218 204 
235 217 210 
233 217 211 
233 217 210 
240 217 209 
231 187 180 
221 185 177 
230 176 159 
235 196 188 
235 160 134 
235 161 135 
231 161 137 
238 168 145 
234 169 148 
218 189 175 
236 219 206 
238 209 200 
244 222 216 
237 211 204 
244 205 196 
235 206 197 
251 249 241 
242 226 220 
245 236 233 
234 232 224 
241 224 211 
239 202 188 
250 238 228 
247 226 224 
236 209 199 
239 201 196 
236 233 228 
232 213 205 
245 226 219 
236 212 206 
240 206 200 
230 184 177 
211 179 168 
97 96 86 
104 81 65 
70 78 67 
235 160 134 
235 161 135 
231 161 137 
233 165 142 
232 165 140 
218 189 175 
233 216 203 
245 216 207 
242 221 213 
237 190 182 
234 192 179 
245 229 222 
241 243 243 
245 234 230 
244 230 224 
233 225 218 
235 222 208 
244 209 196 
216 198 191 
244 214 209 
218 186 175 
232 216 209 
245 241 236 
228 210 203 
216 203 195 
184 168 161 
130 120 110 
52 56 44 
52 62 50 
37 66 51 
40 74 57 
34 67 52 
235 160 134 
235 161 135 
230 163 138 
233 165 142 
228 161 136 
224 195 181 
234 215 202 
252 224 217 
243 219 207 
236 182 171 
216 181 167 
244 240 239 
248 238 244 
241 231 231 
245 231 225 
237 229 222 
236 216 205 
233 184 176 
241 219 213 
232 206 199 
245 223 212 
221 219 211 
169 173 167 
59 64 55 
47 58 48 
42 64 52 
40 65 51 
44 70 56 
33 66 51 
39 68 53 
39 68 53 
35 69 52 
235 160 134 
234 162 138 
230 163 138 
233 165 142 
226 160 135 
234 205 190 
233 211 199 
237 210 200 
237 208 193 
226 161 146 
246 217 203 
248 239 242 
244 241 243 
235 226 222 
243 223 218 
245 226 221 
236 205 196 
236 206 195 
235 236 227 
161 160 150 
51 60 50 
51 67 56 
43 69 56 
42 68 55 
36 67 52 
39 70 55 
43 72 57 
32 66 49 
34 68 51 
38 71 56 
38 70 53 
35 71 54 
235 160 134 
234 162 138 
230 163 138 
234 166 143 
226 160 135 
241 212 197 
231 209 197 
239 211 200 
234 198 180 
232 168 150 
252 232 221 
242 239 241 
238 242 243 
241 229 223 
244 220 214 
234 209 205 
192 180 168 
163 161 151 
50 72 60 
45 68 54 
38 68 55 
40 71 56 
43 71 58 
41 67 53 
39 70 55 
33 62 47 
40 72 55 
33 67 50 
38 72 55 
34 70 53 
33 67 50 
34 70 53 
235 160 134 
234 162 138 
230 163 138 
234 166 143 
226 162 137 
243 212 197 
230 206 194 
241 207 194 
224 172 149 
225 169 152 
247 235 229 
240 245 246 
247 245 244 
243 226 217 
231 213 206 
222 211 203 
62 74 62 
46 63 52 
40 70 57 
41 71 58 
34 69 55 
33 69 52 
40 71 56 
39 75 59 
35 68 53 
40 72 55 
37 71 54 
38 70 53 
33 69 52 
34 72 54 
37 73 56 
33 71 53 
237 159 136 
232 162 138 
225 161 137 
234 167 144 
229 166 138 
245 209 193 
234 204 193 
247 206 191 
229 169 145 
228 178 160 
252 234 233 
243 245 246 
251 241 241 
218 204 192 
96 102 91 
43 60 49 
44 70 57 
41 71 58 
38 71 57 
36 66 53 
35 68 54 
38 74 57 
37 74 58 
33 69 53 
39 75 58 
36 70 53 
32 68 51 
40 78 60 
38 78 60 
35 75 57 
35 75 57 
34 74 56 
237 159 136 
232 162 138 
225 161 137 
234 167 144 
231 168 140 
249 206 191 
240 205 192 
222 172 154 
236 172 148 
246 205 190 
255 235 234 
245 240 241 
228 216 210 
80 84 72 
47 67 54 
46 70 58 
36 69 55 
35 68 54 
37 67 54 
35 68 54 
36 69 55 
36 74 56 
37 74 58 
39 75 58 
38 74 57 
33 69 52 
42 80 62 
32 74 56 
35 75 57 
33 73 55 
36 78 60 
36 82 63 
237 159 136 
232 162 138 
224 162 138 
236 169 146 
231 168 140 
250 201 185 
231 186 173 
226 169 148 
235 168 147 
254 215 200 
251 233 232 
240 239 235 
143 146 131 
46 69 55 
43 67 55 
38 68 55 
31 64 50 
33 66 52 
37 70 56 
37 73 57 
40 76 62 
36 76 58 
43 83 65 
37 77 59 
35 75 57 
41 83 65 
31 73 55 
31 71 53 
34 74 56 
35 84 64 
37 90 70 
37 93 72 
237 159 136 
230 162 139 
224 162 138 
237 170 147 
235 168 137 
242 186 167 
229 177 161 
234 167 146 
233 167 148 
238 202 186 
235 220 218 
127 135 128 
49 70 55 
37 65 52 
39 67 54 
37 67 54 
32 65 51 
37 72 58 
34 70 54 
40 79 63 
37 79 62 
37 79 61 
41 81 63 
39 79 61 
36 78 60 
37 79 61 
32 72 54 
36 78 60 
39 90 70 
40 93 73 
39 96 75 
32 91 70 
237 159 136 
230 162 139 
224 162 138 
232 165 142 
237 167 138 
242 186 167 
225 166 147 
234 166 143 
233 167 148 
236 203 188 
212 209 204 
63 79 68 
42 68 54 
35 65 52 
32 65 51 
41 69 56 
36 71 57 
38 74 58 
41 80 64 
34 80 61 
37 81 64 
40 82 64 
40 82 64 
36 81 62 
34 80 61 
37 79 61 
36 82 63 
39 92 72 
42 98 77 
41 98 77 
41 105 83 
49 114 92 
237 159 136 
230 162 139 
223 163 139 
231 165 140 
235 166 139 
234 175 156 
233 166 145 
235 167 144 
236 170 151 
224 205 190 
117 122 113 
41 66 52 
37 63 49 
35 65 52 
34 64 51 
42 72 59 
41 80 65 
37 74 58 
41 85 68 
41 87 68 
38 83 64 
42 88 69 
43 88 69 
32 81 61 
44 95 75 
33 84 64 
40 97 76 
44 101 80 
46 108 86 
44 109 87 
46 118 95 
41 115 89 
237 159 136 
230 162 139 
223 163 141 
231 165 140 
235 166 139 
230 165 144 
234 166 143 
236 169 148 
225 167 148 
175 166 153 
50 70 57 
37 69 52 
36 65 50 
37 67 54 
37 70 56 
37 76 61 
33 75 58 
44 86 69 
37 83 64 
40 87 65 
46 95 75 
39 85 66 
40 86 67 
43 94 74 
37 90 70 
41 100 79 
42 104 82 
43 108 86 
44 114 91 
47 119 96 
30 109 82 
47 124 97 
236 160 137 
227 162 141 
222 165 143 
233 167 142 
235 165 141 
231 164 143 
234 166 143 
230 167 146 
222 172 152 
94 94 80 
43 69 55 
35 66 51 
33 66 51 
37 70 56 
38 73 59 
40 82 65 
39 84 67 
42 87 70 
41 87 68 
43 92 72 
33 82 62 
41 92 72 
36 89 69 
43 97 74 
40 99 78 
36 95 74 
36 101 79 
41 113 90 
46 124 100 
49 128 101 
47 128 101 
59 136 109 
236 160 137 
227 161 142 
222 165 143 
231 167 142 
233 165 142 
232 165 142 
234 167 144 
226 168 146 
165 140 124 
51 71 58 
37 73 57 
38 69 54 
37 70 55 
38 73 59 
36 77 62 
36 80 63 
40 88 70 
41 90 70 
38 84 65 
38 87 67 
40 89 69 
38 95 74 
36 93 72 
39 98 77 
35 95 71 
40 108 85 
49 123 97 
50 131 106 
44 123 96 
46 127 100 
51 132 105 
37 116 89 
236 160 137 
227 161 142 
230 176 153 
234 167 144 
233 165 142 
232 165 142 
234 167 144 
225 171 148 
