# number of LED, resolution of motor encoder 
32, 380 
250 233 220 
250 242 243 
248 243 244 
249 242 239 
215 155 131 
232 133 95 
234 129 86 
234 123 83 
234 125 81 
231 121 79 
236 145 108 
227 118 80 
228 117 79 
229 118 78 
227 117 81 
250 176 158 
230 164 145 
246 186 164 
228 129 101 
227 151 128 
254 204 184 
237 189 171 
242 181 161 
242 177 156 
227 144 122 
232 149 128 
230 161 141 
233 160 130 
233 156 124 
236 155 122 
236 155 122 
233 154 127 
250 233 220 
248 242 243 
248 243 244 
249 241 241 
237 184 163 
232 135 99 
234 129 86 
234 123 83 
233 124 80 
231 120 80 
228 124 87 
232 118 81 
229 118 80 
229 118 80 
225 115 79 
253 184 167 
227 158 141 
238 171 150 
231 132 104 
234 164 141 
245 192 171 
247 188 168 
238 172 153 
240 165 143 
227 143 118 
234 148 124 
231 170 150 
233 160 130 
233 156 124 
236 155 122 
236 155 122 
233 154 127 
249 227 215 
247 241 242 
248 243 244 
245 240 239 
235 178 157 
232 135 97 
234 129 88 
233 125 84 
232 122 80 
229 121 80 
236 131 92 
230 119 81 
229 118 80 
229 118 80 
230 118 82 
242 183 163 
224 157 136 
241 170 150 
228 131 105 
238 171 148 
240 179 159 
245 184 164 
235 168 147 
234 156 133 
228 138 114 
230 139 118 
240 166 142 
233 160 130 
233 156 124 
236 155 122 
235 154 121 
233 155 126 
247 226 211 
246 241 240 
249 243 244 
245 241 240 
216 170 153 
232 133 95 
234 129 88 
232 124 83 
230 122 80 
232 121 81 
235 133 91 
228 120 79 
230 119 81 
229 118 80 
233 121 85 
242 183 164 
232 165 142 
232 156 133 
228 128 99 
235 165 142 
235 166 147 
240 173 150 
235 159 137 
232 144 120 
225 127 103 
230 144 122 
237 151 129 
233 160 130 
233 156 124 
236 155 122 
236 155 122 
233 155 126 
247 225 213 
247 239 239 
251 243 243 
242 242 242 
217 167 145 
234 135 97 
233 128 87 
233 125 84 
230 122 81 
230 119 79 
230 124 83 
227 119 78 
230 119 81 
228 117 79 
227 120 86 
244 178 160 
233 170 142 
228 144 119 
229 125 96 
244 169 147 
234 163 143 
239 158 137 
237 159 136 
228 135 110 
225 118 91 
234 144 119 
233 139 116 
233 160 130 
233 156 124 
236 155 122 
236 155 122 
231 155 126 
248 227 212 
246 238 238 
250 242 242 
241 243 244 
227 158 125 
233 134 96 
233 128 87 
233 125 84 
230 122 81 
233 123 81 
229 121 80 
227 119 78 
230 119 81 
229 118 80 
226 122 85 
246 178 159 
233 162 135 
232 136 112 
